origin_stop_id,dest_stop_id,time_bin_id,is_structural_zero,primary_reason,triggered_rules,feasible,minimum_transfers,minimum_initial_wait_minutes,minimum_journey_time_minutes,feasible_departure_count,earliest_arrival_seconds
BERNEX_HAINARD,GENEVE_BEL_AIR,t0700,false,,,true,0,0,23.983333333333334,12,25980
BERNEX_HAINARD,GENEVE_BEL_AIR,t0730,false,,,true,0,0,23.983333333333334,13,27720
BERNEX_HAINARD,GENEVE_BEL_AIR,t0800,false,,,true,0,0,23.983333333333334,13,29400
BERNEX_HAINARD,GENEVE_BEL_AIR,t0830,false,,,true,0,0,23.983333333333334,9,31380
BERNEX_HAINARD,GENEVE_BLANCHE,t0700,false,,,true,1,0,30.983333333333334,12,26400
BERNEX_HAINARD,GENEVE_BLANCHE,t0730,false,,,true,1,0,33.983333333333334,13,28320
BERNEX_HAINARD,GENEVE_BLANCHE,t0800,false,,,true,1,0,32.983333333333334,13,30060
BERNEX_HAINARD,GENEVE_BLANCHE,t0830,false,,,true,1,0,31.983333333333334,9,31920
BERNEX_HAINARD,GENEVE_COUTANCE,t0700,false,,,true,0,0,24.983333333333334,12,26040
BERNEX_HAINARD,GENEVE_COUTANCE,t0730,false,,,true,0,0,25.983333333333334,13,27840
BERNEX_HAINARD,GENEVE_COUTANCE,t0800,false,,,true,0,0,25.983333333333334,13,29520
BERNEX_HAINARD,GENEVE_COUTANCE,t0830,false,,,true,0,0,25.983333333333334,9,31500
BERNEX_HAINARD,GENEVE_EAUX_VIVES_GARE,t0700,false,,,true,1,0,30.983333333333334,12,26400
BERNEX_HAINARD,GENEVE_EAUX_VIVES_GARE,t0730,false,,,true,1,0,31.983333333333334,13,28200
BERNEX_HAINARD,GENEVE_EAUX_VIVES_GARE,t0800,false,,,true,1,0,31.983333333333334,13,29880
BERNEX_HAINARD,GENEVE_EAUX_VIVES_GARE,t0830,false,,,true,1,0,30.983333333333334,8,31800
